Index,Type,Falut,Action
1,진공 시스템(Load Lock/챔버),베이크 후 진공 도달 지연,"O‑ring 교체 및 그리스 재도포, 챔버 누설 시험(He leak) 수행"
2,진공 시스템(Load Lock/챔버),펌프다운 중 압력 진동,"배관 클램프 재조임, 스로틀 밸브 튜닝 및 펌프 성능 확인"
3,진공 시스템(Load Lock/챔버),배기 속도 저하,"드라이펌프 트랩 청소, 배기라인 파티클/오일 컨덴세이트 제거"
4,진공 시스템(Load Lock/챔버),게이지 값 불안정,진공 게이지 재교정 및 케이블/피드스루 접촉 확인
5,진공 시스템(Load Lock/챔버),크라이오펌프 재생 필요 경고,재생 사이클 수행 및 냉매 레벨/온도 센서 점검
6,RF/매칭 네트워크,플라스마 점화 실패,"RF 매칭 재튜닝, 안테나/케이블 단선 여부 확인"
7,RF/매칭 네트워크,리플렉트 전력 과다,"매칭 콘덴서 점검 및 접지 개선, 코일 산화물 제거"
8,RF/매칭 네트워크,RF 발생기 과열,"팬/필터 청소, 히트싱크 써멀패드 교체"
9,RF/매칭 네트워크,간헐적 아크 발생,"챔버 내부 파티클 청소, RF 파워 단계적 램프업"
10,RF/매칭 네트워크,주파수 드리프트,발생기 펌웨어 재설정 및 내부 기준 클럭 점검
11,MFC/가스 공급,유량 불일치 알람,"MFC 제로/스팬 재교정, 바이패스 라인으로 기능 점검"
12,MFC/가스 공급,슬로프 응답 지연,필터/고압레귤레이터 막힘 여부 확인 및 교체
13,MFC/가스 공급,가스 누설 의심,"누설 시험 실시, 피팅 재조립 및 토크 규격 적용"
14,MFC/가스 공급,독성가스 과압,"VMB/VMP 레귤레이터 설정 재점검, 릴리프 밸브 시험"
15,MFC/가스 공급,퍼지 실패,"N2 퍼지 시퀀스 재설정, 솔레노이드 밸브 작동 확인"
16,ESC/웨이퍼 척,척킹 불량,"ESC 전압/리프트핀 높이 조정, 표면 클리닝"
17,ESC/웨이퍼 척,오버슛 전류 알람,ESC 파워 서플라이 점검 및 케이블 절연 검사
18,ESC/웨이퍼 척,He 백사이드 누설,"씰링 링 교체, Backside He 라인 누설 시험"
19,ESC/웨이퍼 척,온도 비균일,"존별 히터 PID 재튜닝, 열전대 접촉 확인"
20,ESC/웨이퍼 척,디클램프 지연,"리프트핀 윤활/정렬, 디클램프 타이밍 조정"
21,스로틀 밸브/압력제어,챔버 압력 불안정,"PID 게인 조정, 벨로우즈 마모 점검"
22,스로틀 밸브/압력제어,밸브 스틱션,"축 윤활 및 씰 교체, 개구 영역 파티클 제거"
23,스로틀 밸브/압력제어,개도 위치 오류,엔코더/스텝모터 캘리브레이션
24,스로틀 밸브/압력제어,저압 한계 미달,"펌프 성능 및 누설 재점검, 바이패스 밸브 확인"
25,스로틀 밸브/압력제어,고압 유지 불가,가스 유량 부족/게이지 불량 확인 후 교체
26,터보/드라이 펌프,베어링 소음 증가,"베어링 교체 또는 오버홀, 진동 아이솔레이터 확인"
27,터보/드라이 펌프,오일 미스트 검출,"오일 세퍼레이터 교체, 배출 라인 누설 확인"
28,터보/드라이 펌프,온도 과상승,"냉각수/팬 점검, 흡입구 막힘 제거"
29,터보/드라이 펌프,속도 램프업 실패,"인버터/드라이브 보드 진단, 로터 밸런싱"
30,터보/드라이 펌프,정지 후 재기동 실패,배기 역류 방지 체크밸브 점검 및 교체
31,엔드포인트/센서,OES 신호 약화,"창(viewport) 세정/교체, 광섬유 정렬"
32,엔드포인트/센서,레이저 EP 드리프트,"기준 샘플로 재교정, 온도 안정화 대기"
33,엔드포인트/센서,압력 센서 옵셋,"제로점 재설정, 다이어프램 오염 제거"
34,엔드포인트/센서,가스 분석기 노이즈,"배경 스펙트럼 재측정, 접지 개선"
35,엔드포인트/센서,두께 모니터 불일치,"타겟/프로브 각도 재설정, 필름 표준편 교정"
36,웨트벤치/세정,케미컬 농도 편차,"자동 보충 로직 확인, 타이틀레이션 교정"
37,웨트벤치/세정,오버플로 배수 불량,드레인 막힘 제거 및 트랩 청소
38,웨트벤치/세정,스핀 린스 드라이 물자국,"스프레이 노즐 교체, N2 블로우 압력 조정"
39,웨트벤치/세정,쿼츠 탱크 크랙 의심,"누설 검사 및 탱크 교체, 보강 가이드 설치"
40,웨트벤치/세정,스크러버 pH 경보,"중화제 주입량 조정, pH 센서 교체"
41,CMP(연마),스크래치 증가,"슬러리 필터 교체, 패드 컨디셔닝 주기 조정"
42,CMP(연마),ER 온도 상승,"치러(Chiller) 확인, 슬러리 순환 라인 청소"
43,CMP(연마),패드 평탄 불량,패드 레벨링/드레서 교정
44,CMP(연마),에어리프트 실패,에어라인 누설 확인 및 레귤레이터 교체
45,CMP(연마),웨이퍼 슬립,"백사이드 클린 강화, 클램핑 압력 조정"
46,포토(노광기/트랙),얼라인 실패,"마크 클리닝, 스테이지 보정, 조명 균일도 확인"
47,포토(노광기/트랙),레지스트 코팅 두께 편차,"스핀 레시피 재설정, 점도/온도 관리"
48,포토(노광기/트랙),베이크 플레이트 온도 불일치,"RTD 교체, PID 재튜닝"
49,포토(노광기/트랙),디벨로퍼 누설,"씰/튜브 교체, 압력 테스트"
50,포토(노광기/트랙),레티클 오염,"펠리클 교체, 레티클 클리닝 절차 수행"
51,PVD(스퍼터),타겟 아크 빈번,"파워 램프업 완화, 타겟 프리컨디셔닝"
52,PVD(스퍼터),필름 두께 저하,"타겟 소진율 확인 및 교체, 셔터 타임 교정"
53,PVD(스퍼터),균일도 불량,서브스트레이트 회전/바이어스 조건 조정
54,PVD(스퍼터),쿨링 워터 알람,"유량계/밸브 확인, 누설 점검"
55,PVD(스퍼터),베이스 진공 상승,시일 점검 및 펌프 성능 확인
56,CVD(ALD 포함),사이클 타임 증가,"프리커서 공급 라인 막힘 제거, MFC 재교정"
57,CVD(ALD 포함),필름 성장률 저하,"소스 재충전, 샤워헤드 오염 제거"
58,CVD(ALD 포함),파티클 증가,"챔버 시즌닝, 라이너 교체"
59,CVD(ALD 포함),온도 균일도 저하,히터 존 매핑 및 보정
60,CVD(ALD 포함),퍼지 불충분,"펌프다운 단계 추가, 퍼지 시간 연장"
61,이온주입기,빔 전류 불안정,"소스 재점화/필라멘트 점검, 빔라인 정렬"
62,이온주입기,도즈 오버슈트,스캐닝 파라미터/샘플링 타임 재설정
63,이온주입기,가스 피드 막힘,레귤레이터/필터 교체
64,이온주입기,웨이퍼 차징,중화 전자 제공 장치 점검
65,이온주입기,포커스 에러,자석/렌즈 교정 및 진공 안정화 대기
66,확산/어닐링(RTP/퍼니스),램프 응답 지연,"SSR/전원 모듈 점검, 램프 교체"
67,확산/어닐링(RTP/퍼니스),온도 센서 드리프트,열전대/IR 센서 교정
68,확산/어닐링(RTP/퍼니스),쿼츠 튜브 오염,"튜브 클리닝 또는 교체, 시즌닝"
69,확산/어닐링(RTP/퍼니스),승온 프로파일 이탈,"PID 재튜닝, 레시피 재검증"
70,확산/어닐링(RTP/퍼니스),N2 퍼지 부족,유량 증가 및 라인 누설 점검
71,AMHS/FOUP/로봇,픽/플레이스 미스얼라인,"그리퍼 정렬/마모부 교체, 비전 티칭"
72,AMHS/FOUP/로봇,FOUP ID 인식 실패,"리더 클리닝, 라벨/ID 태그 교체"
73,AMHS/FOUP/로봇,트랙잼 발생,"레일 청소, 구동벨트 장력 조정"
74,AMHS/FOUP/로봇,로봇 관절 진동,"감속기 그리스 보충, 재튜닝"
75,AMHS/FOUP/로봇,인터록 미동작,리미트 스위치/센서 배선 재체결
76,메트롤로지(CD-SEM/타원계),CD 값 변동성 증가,"레시피 재교정, 스테이지 드리프트 보정"
77,메트롤로지(CD-SEM/타원계),포커스 불량,"오토포커스 모듈 점검, 렌즈 클리닝"
78,메트롤로지(CD-SEM/타원계),스팟 드리프트,"환경 진동/온도 확인, 아이솔레이터 점검"
79,메트롤로지(CD-SEM/타원계),표준시편 오차,레퍼런스 웨이퍼 교체 및 교정
80,메트롤로지(CD-SEM/타원계),데이터 전송 실패,"SECS/GEM 통신 점검, 네트워크 스위치 확인"
81,유틸리티(UPW/CDA/N2),UPW 저저항 경보,"믹스베드 수지 교체, 루프 플러싱"
82,유틸리티(UPW/CDA/N2),CDA 압력 저하,"컴프레서/드라이어 점검, 라인 누설 확인"
83,유틸리티(UPW/CDA/N2),N2 순도 저하,"발생기 PSA 점검, 필터 교체"
84,유틸리티(UPW/CDA/N2),루프 바이오오염 의심,ATP 테스트 후 살균 플러싱
85,유틸리티(UPW/CDA/N2),디가스 성능 저하,막 접촉기 교체 및 진공 디가서 점검
86,클린룸/FFU/필터,입자 수 증가,"ULPA/HEPA 교체, 에어밸런싱 재측정"
87,클린룸/FFU/필터,국소 난류 발생,"FFU 속도 프로파일 재설정, 장애물 제거"
88,클린룸/FFU/필터,온습도 편차,"ACU 제어점 재설정, 센서 교정"
89,클린룸/FFU/필터,차압 이탈,"댐퍼 조정, 필터 막힘 점검"
90,클린룸/FFU/필터,ESD 접지 불량,"접지 바 재체결, 모니터 교체"
91,슬러리/케미컬 공급,필터 차압 상승,"필터 하우징 교체, 바이패스 세정"
92,슬러리/케미컬 공급,농도 트렌드 드리프트,"인라인 센서 교정, 샘플링 주기 조정"
93,슬러리/케미컬 공급,버블 혼입,"디가싱 강화, 배관 재배치로 데드레그 제거"
94,슬러리/케미컬 공급,펌프 펄세이션,"펌프 다이어프램 교체, 펄스댐퍼 설치"
95,슬러리/케미컬 공급,탱크 레벨 오차,레벨 센서 재설정 및 플로트 점검
96,배기/소각/세정(Abatement),소각온도 저하,"버너 노즐 청소, 연료/에어 비율 조정"
97,배기/소각/세정(Abatement),스크러버 차압 상승,"팩킹 클리닝, 순환펌프 확인"
98,배기/소각/세정(Abatement),BY-PASS 빈발,"제어 로직 점검, 인터록 조건 개선"
99,배기/소각/세정(Abatement),배출 기준 근접,pH/ORP/유량 트리플 모니터링 강화
100,배기/소각/세정(Abatement),배관 부식,"재질 교체 및 코팅 보강, 두께측정 주기화"
101,전력/UPS/접지,순간 정전/드롭,"UPS 배터리 테스트, 라인 모니터 설치"
102,전력/UPS/접지,노이즈 유입,"필터/초크 추가, 접지 포인트 단일화"
103,전력/UPS/접지,과전류 트립,"분전반 열화 점검, 케이블 루즈 체결 보수"
104,전력/UPS/접지,접지 임피던스 상승,그라운드 바 청소/증설
105,전력/UPS/접지,PDU 과열,"팬/통풍 상태 확인, 부하 재배치"
106,소프트웨어/SECS-GEM,장비 통신 끊김,"포트/방화벽 설정 점검, 드라이버 재설치"
107,소프트웨어/SECS-GEM,레시피 동기화 실패,"버전관리 점검, 체크섬 비교 후 재배포"
108,소프트웨어/SECS-GEM,알람 로그 누락,"시스템 시간 동기화, 버퍼 사이즈 확대"
109,소프트웨어/SECS-GEM,권한 오류,사용자 롤 재설정 및 인증 서버 확인
110,소프트웨어/SECS-GEM,데이터 포맷 불일치,스키마 매핑 수정 및 재전송
